Date,LT,upper,lower
2017-05-15,1742.4,,
2017-05-16,1740.7,,
2017-05-17,1755.45,,
2017-05-18,1722.6,,
2017-05-19,1724.55,,
2017-05-22,1751.95,,
2017-05-23,1740.75,,
2017-05-24,1684.45,,
2017-05-25,1768.85,,
2017-05-26,1787.6,,
2017-05-29,1782.4,,
2017-05-30,1767.55,,
2017-05-31,1760.7,,
2017-06-01,1792.8,1809.7886649728757,1693.4613350271243
2017-06-02,1784.0,1814.939594194079,1694.253262948778
2017-06-05,1804.9,1824.526562984329,1693.8377227299563
2017-06-06,1775.15,1826.4340352692507,1694.744536159321
2017-06-07,1788.6,1828.8421661720658,1701.7649766850768
2017-06-08,1774.25,1827.9844492698967,1709.7226935872463
2017-06-09,1778.2,1829.2117144868753,1712.2454283702677
2017-06-12,1736.6,1829.6078084267365,1711.256477287549
2017-06-13,1739.0,1812.6118016251696,1736.0453412319732
2017-06-14,1764.45,1812.5625856582708,1735.4659857703007
2017-06-15,1735.35,1813.0507799488403,1727.5135057654454
2017-06-16,1726.7,1814.2641716731907,1718.342971183952
2017-06-19,1755.8,1813.7411224689135,1717.187448959658
2017-06-20,1750.5,1813.626242369012,1715.8451862024165
2017-06-21,1754.2,1808.339674393577,1715.617468463566
2017-06-22,1736.4,1804.9644896214174,1712.1926532357259
2017-06-23,1722.7,1794.4087911762135,1711.0054945380725
2017-06-27,1701.7,1795.063351229018,1699.8580773424108
2017-06-28,1703.25,1788.125058698806,1694.6035127297657
2017-06-29,1703.65,1783.0324009982032,1689.6104561446546
2017-06-30,1687.6,1776.671674796713,1683.0283252032873
2017-07-03,1687.25,1778.1237637215102,1674.5262362784904
2017-07-04,1683.35,1778.3310407466386,1666.3689592533617
2017-07-05,1695.3,1769.4546037307903,1665.3668248406382
2017-07-06,1697.6,1766.6660300186263,1662.7625414099452
2017-07-07,1704.4,1764.8571581428337,1661.3856990000236
2017-07-10,1732.15,1758.4986360366825,1664.3656496776039
2017-07-11,1741.1,1755.6439847440133,1665.8774438274154
2017-07-12,1739.55,1750.7533745587843,1668.6751968697872
2017-07-13,1175.1,1956.8200243315628,1382.422832811294
2017-07-14,1171.2,2019.2910673264478,1241.1660755306948
2017-07-17,1171.25,2048.883520960185,1135.7950504683863
2017-07-18,1177.9,2056.243336495183,1053.3852349333877
2017-07-19,1181.3,2048.112119685679,986.8950231714633
2017-07-20,1185.65,2030.276242396545,933.0237576034547
2017-07-21,1179.25,2002.544330401639,888.1842410269325
2017-07-24,1178.0,1965.5097353648323,853.0259789208819
2017-07-25,1170.85,1915.5686160972189,828.0456696170666
2017-07-26,1180.25,1852.9518624659213,816.7552803912217
2017-07-27,1182.05,1774.610533130788,820.475181154926
2017-07-28,1161.4,1666.6764323355885,846.8735676644112
2017-07-31,1193.95,1518.489148694111,916.8965655916035
2017-08-01,1190.05,1195.2330033895937,1161.6527108961209
2017-08-02,1176.8,1195.274689132976,1161.853882295596
2017-08-03,1174.75,1195.150345160087,1162.4853691256276
2017-08-04,1175.85,1195.0011761877045,1163.2916809551525
2017-08-07,1179.95,1195.1358782777008,1163.449836008013
2017-08-08,1171.2,1194.9321091235834,1162.210748019274
2017-08-09,1153.9,1196.7335819441857,1155.873560912957
2017-08-10,1157.7,1197.3695413513133,1152.1590300772582
2017-08-11,1131.95,1203.4935703327246,1139.4564296672756
2017-08-14,1146.9,1204.3805653119634,1135.1480061166085
2017-08-16,1142.25,1204.004754039929,1130.095245960072
2017-08-17,1134.0,1203.389370085616,1123.8463442000989
2017-08-18,1130.6,1204.9477338349977,1117.8879804507171
2017-08-21,1127.1,1199.4606438341452,1113.8250704515694
2017-08-22,1117.7,1194.3883070628997,1108.561692937101
2017-08-23,1124.15,1190.2939563523512,1105.1346150762213
